station_id,lon,lat,charger_count,charger_id,on_shift_access
bs1,-73.98357,40.75551,2000,LEVEL_2,false
s20,-73.92271,40.86694,2000,DCFC,true
s26,-73.97378,40.7957,2000,DCFC,true
s28,-73.99634,40.76397,2000,DCFC,true
s41,-73.9284,40.86611,2000,DCFC,true
s42,-73.91481,40.87045,2000,DCFC,true
s60,-73.95421,40.8107,2000,DCFC,true
s61,-74.00348,40.73899,2000,DCFC,true
s65,-73.94806,40.78936,2000,DCFC,true
s72,-73.93375,40.80307,2000,DCFC,true
s107,-74.00421,40.75307,2000,DCFC,true
s130,-73.93815,40.82096,2000,DCFC,true
s131,-73.9377,40.82077,2000,DCFC,true
s174,-73.97452,40.73515,2000,DCFC,true
s293,-73.93362,40.79805,2000,DCFC,true
s305,-73.91799,40.86632,2000,DCFC,true