seconds,base_charging,station_charging,field_vehicles
0,0,0,0
600,4,0,0
1200,8,0,6
1800,12,0,12
2400,19,0,19
3000,19,1,25
3600,19,1,29
4200,23,2,29
4800,23,3,39
5400,27,5,41
6000,34,10,51
6600,41,10,53
7200,45,10,56
7800,49,12,64
8400,53,14,67
9000,57,14,77
9600,61,8,80
10200,65,4,81
10800,65,2,86
11400,69,0,92
12000,73,0,98
12600,80,3,99
13200,84,3,101
13800,91,8,109
14400,95,8,117
15000,95,12,118
15600,99,16,123
16200,106,21,133
16800,106,24,139
17400,106,28,141
18000,110,29,144
18600,114,31,146
19200,114,32,146
19800,114,36,147
20400,118,38,147
21000,118,41,148
21600,122,45,150
22200,126,49,150
22800,126,50,152
23400,126,54,152
24000,126,56,153
24600,126,58,154
25200,122,58,156
25800,122,60,155
26400,122,64,156
27000,118,66,157
27600,114,68,157
28200,110,68,158
28800,110,68,158
29400,106,68,158
30000,99,68,158
30600,92,68,157
31200,85,68,158
31800,78,68,159
32400,74,65,159
33000,70,62,161
33600,66,58,162
34200,66,54,163
34800,66,52,164
35400,62,49,165
36000,58,48,165
36600,58,44,167
37200,58,40,167
37800,58,37,168
38400,58,36,170
39000,58,34,170
39600,58,31,169
40200,58,31,169
40800,58,27,169
41400,58,23,169
42000,58,19,169
42600,58,19,170
43200,58,17,170
43800,58,12,171
44400,58,11,170
45000,58,11,171
45600,58,8,172
46200,58,5,172
46800,58,4,172
47400,58,0,174
48000,65,0,174
48600,72,0,173
49200,76,0,174
49800,83,0,173
50400,83,0,175
51000,83,0,176
51600,87,0,177
52200,91,0,177
52800,75,0,176
53400,60,0,175
54000,40,0,174
54600,25,0,173
55200,0,0,169
55800,0,0,168
56400,0,0,163
57000,0,0,158
57600,0,0,154
58200,0,0,149
58800,0,3,146
59400,0,7,143
60000,0,7,139
60600,0,10,139
61200,0,11,136
61800,15,15,135
62400,20,17,131
63000,50,18,129
63600,60,21,128
64200,120,26,125
64800,150,31,120
65400,170,31,115
66000,177,33,115
66600,184,34,113
67200,188,36,112
67800,195,36,110
68400,195,36,110
69000,199,32,106
69600,203,30,104
70200,210,28,102
70800,214,24,98
71400,218,23,97
72000,222,23,97
72600,226,18,92
73200,230,13,87
73800,234,10,84
74400,238,6,80
75000,242,3,77
75600,242,0,73
76200,242,0,71
76800,246,0,71
77400,250,0,70
78000,254,0,67
78600,261,0,63
79200,261,0,61
79800,261,0,60
80400,261,0,56
81000,257,0,54
81600,253,0,49
82200,249,0,45
82800,245,0,41
83400,241,0,36
84000,237,0,34
84600,233,0,31
85200,226,0,31
85800,222,0,27
86400,215,0,27