station_id,lon,lat,charger_count,charger_id,on_shift_access
bs1,-73.98357,40.75551,1000,LEVEL_2,FALSE
bs2,-73.945926,40.821026,1000,LEVEL_2,FALSE
bs3,-73.978971,40.761753,1000,LEVEL_2,FALSE
bs4,-73.998487,40.724659,1000,LEVEL_2,FALSE
s20,-73.92271,40.86694,20,DCFC,TRUE
s26,-73.97378,40.7957,20,DCFC,TRUE
s28,-73.99634,40.76397,20,DCFC,TRUE
s41,-73.9284,40.86611,20,DCFC,TRUE
s42,-73.91481,40.87045,20,DCFC,TRUE
s60,-73.95421,40.8107,20,DCFC,TRUE
s61,-74.00348,40.73899,20,DCFC,TRUE
s65,-73.94806,40.78936,20,DCFC,TRUE
s72,-73.93375,40.80307,20,DCFC,TRUE
s107,-74.00421,40.75307,20,DCFC,TRUE
s130,-73.93815,40.82096,20,DCFC,TRUE
s131,-73.9377,40.82077,20,DCFC,TRUE
s174,-73.97452,40.73515,20,DCFC,TRUE
s293,-73.93362,40.79805,20,DCFC,TRUE
s305,-73.91799,40.86632,20,DCFC,TRUE